track_id,spotify_track_uri
0236YDA8KmwrVQV5f4tTzE,spotify:track:0236YDA8KmwrVQV5f4tTzE
023OVLNzXhX0j7CxswUt6D,spotify:track:023OVLNzXhX0j7CxswUt6D
023ieUg05POKHTm72t4Qng,spotify:track:023ieUg05POKHTm72t4Qng
0242458jb2kEe7C6brhy1Q,spotify:track:0242458jb2kEe7C6brhy1Q
0247StOpd3AkeBQzANX4Zf,spotify:track:0247StOpd3AkeBQzANX4Zf
024YSr1f2Y90xSMOouvIO9,spotify:track:024YSr1f2Y90xSMOouvIO9
024l9PlvWWPaCTfRO6LZ88,spotify:track:024l9PlvWWPaCTfRO6LZ88
026NQX067cWBTdH25bTgIW,spotify:track:026NQX067cWBTdH25bTgIW
026VkpZ1VugOyUcbwnb5z1,spotify:track:026VkpZ1VugOyUcbwnb5z1
026j8vzbyBtiFACIPpgcOL,spotify:track:026j8vzbyBtiFACIPpgcOL
026xziPfk73HTmWSSzQkeL,spotify:track:026xziPfk73HTmWSSzQkeL
0273i5ysrlovK8rr0KJfQn,spotify:track:0273i5ysrlovK8rr0KJfQn
028VaamRxA2gdVksSD9VJE,spotify:track:028VaamRxA2gdVksSD9VJE
0294XRLOCKoNf8hfIBQOAc,spotify:track:0294XRLOCKoNf8hfIBQOAc
0299h5d8dfhgVDXuYOkL5s,spotify:track:0299h5d8dfhgVDXuYOkL5s
029QvBzu6JuahRVHGa3NxC,spotify:track:029QvBzu6JuahRVHGa3NxC
029mAWJPMWDM6vz0nyq3Nr,spotify:track:029mAWJPMWDM6vz0nyq3Nr
029wp5GlDdnUt403DtuWbF,spotify:track:029wp5GlDdnUt403DtuWbF
02AP7PoFQo729YWkF6uY6T,spotify:track:02AP7PoFQo729YWkF6uY6T
02BBLbezZ267eowDKpq8bI,spotify:track:02BBLbezZ267eowDKpq8bI
02BHKQwteyDH1IAgNVPtNA,spotify:track:02BHKQwteyDH1IAgNVPtNA
02BumRY2OTFMkMxrXSVMat,spotify:track:02BumRY2OTFMkMxrXSVMat
02BuogZ8TffSMcWuSKxFsp,spotify:track:02BuogZ8TffSMcWuSKxFsp
02C5QgRFecna4B8Sv406WA,spotify:track:02C5QgRFecna4B8Sv406WA
02Cs83rJxwSqlwx5YPnY7V,spotify:track:02Cs83rJxwSqlwx5YPnY7V
02DWSjpkB6yll8is6vCHwQ,spotify:track:02DWSjpkB6yll8is6vCHwQ
02Dkg9KisMTISWEBK5AKMk,spotify:track:02Dkg9KisMTISWEBK5AKMk
02DurCgOvDdX0uKEjqcl3W,spotify:track:02DurCgOvDdX0uKEjqcl3W
02G1T3LAnqj6DoOMDn0Q7B,spotify:track:02G1T3LAnqj6DoOMDn0Q7B
02HJc2G0BfiJBJhet27Scm,spotify:track:02HJc2G0BfiJBJhet27Scm
02HgIiubGeGwAggkaru9DV,spotify:track:02HgIiubGeGwAggkaru9DV
02INgHwnAG8TWhv7Fx4r7E,spotify:track:02INgHwnAG8TWhv7Fx4r7E
02IoYFcV0eBeVmCsF6tOUg,spotify:track:02IoYFcV0eBeVmCsF6tOUg
02LMGGAW6fN40b0oxhXkmP,spotify:track:02LMGGAW6fN40b0oxhXkmP
02LMw4UrjnpGbMITETl5Qh,spotify:track:02LMw4UrjnpGbMITETl5Qh
02Lzw8nV44AO0DaTv4ItFn,spotify:track:02Lzw8nV44AO0DaTv4ItFn
02M384e2IGqWVmzjTlgqoC,spotify:track:02M384e2IGqWVmzjTlgqoC
02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx
02MZw53jWJUSYEGdAlWLPI,spotify:track:02MZw53jWJUSYEGdAlWLPI
02N2nC7cyz8gUaWhBtEz4k,spotify:track:02N2nC7cyz8gUaWhBtEz4k
02NKYM2qi8BWtkesFW3oYV,spotify:track:02NKYM2qi8BWtkesFW3oYV
02NWReJNEKU7daqxlx6ABg,spotify:track:02NWReJNEKU7daqxlx6ABg
02OMcT7yppdum6VZFSHPCF,spotify:track:02OMcT7yppdum6VZFSHPCF
02POyqtbrdmYQ3RxsTrYMD,spotify:track:02POyqtbrdmYQ3RxsTrYMD
02PixdtkYspRkv72i6BOjD,spotify:track:02PixdtkYspRkv72i6BOjD
02S3bKFXu6Ow0bmJdmEQlr,spotify:track:02S3bKFXu6Ow0bmJdmEQlr
02SKUHdVNkp53D59qU9LKZ,spotify:track:02SKUHdVNkp53D59qU9LKZ
02SaJ1OMfv7gDlIRM5OSmw,spotify:track:02SaJ1OMfv7gDlIRM5OSmw
02UFwtmJ0ogLQWMx43Okuh,spotify:track:02UFwtmJ0ogLQWMx43Okuh
02UdTKlPliLmtWu3G8CZXO,spotify:track:02UdTKlPliLmtWu3G8CZXO
02Ufu7kJP4aVxYgH8F6EwE,spotify:track:02Ufu7kJP4aVxYgH8F6EwE
02UxgpMd5uzA9h39tN7v3x,spotify:track:02UxgpMd5uzA9h39tN7v3x
02VUoiUt9LFqWbyoXAYNGo,spotify:track:02VUoiUt9LFqWbyoXAYNGo
02VcGLKtJGuuyxuZMggMN5,spotify:track:02VcGLKtJGuuyxuZMggMN5
02WDuAXXKumemrvsmrVBvH,spotify:track:02WDuAXXKumemrvsmrVBvH
02WpEtFKlhMaTGMr2LAFf2,spotify:track:02WpEtFKlhMaTGMr2LAFf2
02Y5yCHmHUPLWE5ucxXZ7O,spotify:track:02Y5yCHmHUPLWE5ucxXZ7O
02YCglF5eNFT2DwEQyq5UV,spotify:track:02YCglF5eNFT2DwEQyq5UV
02YU7PKh0TpdF00JIQcqU3,spotify:track:02YU7PKh0TpdF00JIQcqU3
02YXI5rZ0sxJAWaMvGf1YO,spotify:track:02YXI5rZ0sxJAWaMvGf1YO
02Yfdjig23PmDTu03heTJT,spotify:track:02Yfdjig23PmDTu03heTJT
02ZdZqhpfrPnxwyakXgxB8,spotify:track:02ZdZqhpfrPnxwyakXgxB8
02Zf9ftOi7jwHfqlPA4YgN,spotify:track:02Zf9ftOi7jwHfqlPA4YgN
02a2RQEICEzbdPPYh0aLnJ,spotify:track:02a2RQEICEzbdPPYh0aLnJ
02aNc98UFjGhwhyfb212Eb,spotify:track:02aNc98UFjGhwhyfb212Eb
02aln7VKRj9G9j1KyZd2Zz,spotify:track:02aln7VKRj9G9j1KyZd2Zz
02bJ6uGeHKfNOhIc9qyA8e,spotify:track:02bJ6uGeHKfNOhIc9qyA8e
02cchvf2YGJGwFmpBgjkR3,spotify:track:02cchvf2YGJGwFmpBgjkR3
02dHt1MMpBFrvjqovcqH43,spotify:track:02dHt1MMpBFrvjqovcqH43
02eeRylUXjhgHjZchZgbiW,spotify:track:02eeRylUXjhgHjZchZgbiW
02f5iKhfXVvCWK641es1sT,spotify:track:02f5iKhfXVvCWK641es1sT
02fEpYpZLCaLwvjV7D9DJX,spotify:track:02fEpYpZLCaLwvjV7D9DJX
02fXDM2myvnYF5NyCkKPvp,spotify:track:02fXDM2myvnYF5NyCkKPvp
02h6C4j7epHq7wdELjQftd,spotify:track:02h6C4j7epHq7wdELjQftd
02h7i3gpGlfiJ2zSW6WPWs,spotify:track:02h7i3gpGlfiJ2zSW6WPWs
02hI9MoVLnCI02AyqoCTH9,spotify:track:02hI9MoVLnCI02AyqoCTH9
02hKouQHOdKk8KoqoCqaBB,spotify:track:02hKouQHOdKk8KoqoCqaBB
02hv1mEcVbUEkra7OS1H7o,spotify:track:02hv1mEcVbUEkra7OS1H7o
